,QR Code,veggie,scene,url_scene,season,scientific_name,family,description,sunlight,soil conditions,hardiness,lifecycle,ease of care,foliage colors,foliage texture,tolerates,special characteristics,how to grow,germination temperature,emergence days,seed save time,Maintenance Info,Pests
0,https://drive.google.com/file/d/1wPlMP0I6IIbUcdU8K4g-hRuyALcOy2dC/view?usp=sharing,Artichoke - Globe,scenec09b.html,http://www.gardening.cornell.edu/homegardening/scenec09b.html,Vegetable (Cool Season) - Other,Cynara scolymus,Compositae,"This cool-season perennial prized for its flavorful “hearts” is
normally hardy to Zone 6 if well mulched, and occasionally Zone 5
during mild winters. Its bristly leaves also add a unique texture to
flower gardens.",full sun,requires well-drained soil,6 to 9,perennial,difficult,light green,medium,"frost - Tolerates heavy frost, but heavy frost will damage flower stalks.





	salt",not native to North America,"Propagate by seed,division or separation- Seed may not breed true. ", 70 F to 80 F , 8 to 12 ,Seed can be saved 6 years.,"Plant root divisions (basal stem pieces with attached roots) after last frost, 2 to 3 feet apart in rows 2.5 to 3 feet apart.Plantingfrom seed not recommended because results are highly variable andusually inferior to parent plants. But if you do, start seeds about 8to 12 weeks before last frost. Harden off in cold frame. Cold treatmentof starts (keeping temperature between 35 F and 50 F for about 10 days)can induce flowering in first-year plants. Transplant outside aftersoil has reached 60 F.Benefits from the use of a low-nitrogenfertilizer (high in phosphorus and potassium), which can beincorporated before planting. Plants usually don’t flower the first year.Toincrease chance of overwintering, head back to 12 inches and cover withleaves, covered with baskets or boxes, and heap more leaves over thetop of the basket. Another alternative is to dig roots and store in acold (but not freezing) room. Pot up about a month before transplantingout after last frost.While individual plants may live up to 15 years or more, divide about every 3 years to keep planting productive.",Aphids - A hard stream of water can be used to remove aphids fromplants. Wash off with water occasionally as needed early in the day.Check for evidence of natural enemies such as gray-brown or bloatedparasitized aphids and the presence of alligator-like larvae of ladybeetles and lacewings. 
1,https://drive.google.com/file/d/1aqB3o6Km2ccJWJuhkmJTVLvEFV6Gpj8I/view?usp=sharing,Arugula,scene3693.html,http://www.gardening.cornell.edu/homegardening/scene3693.html,Vegetable (Cool Season) - Salad Greens,Eruca vesicaria,Brassicaceae,"This fast-growing cool-season salad green - often ready to harvest as
early as 4 weeks after seeding - adds a tangy, peppery or mustard-like
flavor to salads and mesclun mixes.","full sun
part shade",tolerates low fertility,,annual,easy,medium green,medium,frost,not native to North America,Propagate by seed , 40 F to 55 F , 5 to 7 ,Seed can be saved 5 years.,"Seeds germinate quickly even in cold soil.  Plant as soon as soil can be worked in spring.Avoid planting after other cabbage family crops.Plant¼ inch deep and 1 inch apart in rows, or broadcast alone or mixed withother greens. Gradually thin to 6-inch spacings using thinnings forsalads.Make new plantings every 2 to 3 weeks for a continuous supply until about a month before your average first frost date.Slow bolting by reducing heat and moisture stress.  Provide some shade for warm-season plantings.Fast-growing plants are good for intercropping and relay cropping.Oftenself-seeds. Is self-sterile and requires insects for pollination. Willnot cross with other members of the mustard family.",Flea beetles
2,https://drive.google.com/file/d/1t8g74Js6k2gw1tyZ9RXQGsi8tQMt0Dkh/view?usp=sharing,Asparagus,scenee3ed.html,http://www.gardening.cornell.edu/homegardening/scenee3ed.html,Vegetable (Cool Season) - Other,Asparagus officianalis,Liliaceae,"Among the earliest crops in spring, plantings of this hardy perennial
can last for decades if well cared for, and the fine foliage makes it a
natural for edible landscaping. The tender spears are tastiest when
eaten as soon as possible after harvest.","full sun
part shade","tolerates acid soil
tolerates droughty soil
requires well-drained soil",2 to 8,perennial,moderately difficult,light green,fine,salt,"not native to North America - Mediterranean.bears ornamental fruit - Small, bright red berries on the open-pollinated cultivars only.","Propagate by seed, division or separation - Purchase disease-free, 1-year-old crowns for planting. Divide plants in early spring, if desired. Asparagus can also be grown from seed, but requires an extra year to establish.", 70 F to 77 F , 10 to 12 ,Seed can be saved 3 years.,"Carefully consider site before planting this long-lived perennial. Testsoil and apply phosphorus, potassium and lime as indictated beforeplanting. Avoid frost pockets as late killing frosts will damage spears.Plantcrowns 4 to 6 weeks before average last frost, 18 to 24 inches apart intrenches 8 inches deep. (5 inches deep for Jersey series cultivars.)Spread roots in bottom of trench and cover with 1 to 2 inches of soil.Gradually cover with more soil as the plants grow. Do not cut back ferns in fall until they die naturally.Forhighest yields, plant all-male hybrids, such as the Jersey series fromRutgers University (Jersey Giant, Jersey King, Jersey Knight). If usingolder varieties, such as Martha Washington, you can identify the lessproductive female plants at flowering and replace them with maleplants. The flowers on male plants are larger and longer than thefemale flowers, have six stamens and a small nonfunctional pistil. Thefemale flowers have six small nonfunctional pistils and a welldeveloped, three-lobed stamen.Water during dry spells during the first year.  Do not overwater as plants don’t tolerate water-logged soils.To blanch asparagus, carefully hill soil over spears or grow under opaque buckets or row covers.Midsummermulching with hay, straw, leaves or grass clippings helps control weedsand keep soil from drying out. (Be careful not to bring in weed seedswith your mulch.) Regular applications of compost or well-rotted manureprovide a steady source of nutrients. Weeds can be challenging.Keep plantings well cultivated and mulched to prevent weeds fromgetting established. Mulch heavily around plantings to keep spreadingweeds such as quackgrass from invading. While plants are salt-tolerant,the old practice of using salt to kill weeds is not recommended. Witholder varieties that are not all-male, weed out volunteer plants fromfemales that set seed.",Asparagus beetles (common and spotted) - Handpick in small plantings.
3,https://drive.google.com/file/d/1_Zr_GjUOWUYk_QocKneXF_Gws2lR99de/view?usp=sharing,Beans - Bush,scenef57c.html,http://www.gardening.cornell.edu/homegardening/scenef57c.html,Vegetable (Warm Season) - Other,Phaseolus vulgaris (Bush beans),Fabaceae,"You can harvest this staple of the vegetable garden as snap beans,
shell beans or dry beans. They are extremely easy to grow, but if your
garden is small, consider planting pole beans. They yield two to three
times more from the same space.",full sun,requires well-drained soil,,annual,easy,medium green,medium,,"not native to North America - Species has been under cultivation worldwide for more than 7,000 years.bears ornamental fruit - Some varieties have purple or yellow pods.",Propagate by seed- Do not start seeds inside. Beans do not like to be transplanted., 70 F to 80 F  - Germination is slow and poor when soil temperatures are below 60 F. , 8 to 10  - Germination may take two weeks or more if soil temperatures are below 60 F. ,Seed can be saved 5 years.,"Do not plant until danger of frost has passed and soil has warmed.Germination is poor when soil temperature is below 60 F. Cold airtemperatures (even above freezing) can injure plants and reduce yields.Plant seed one inch deep (deeper if soil is dry), about 2 inches apart, in rows 18 to 36 inches apart.Soaking beans to hasten germination may damage seeds.  Do not start seed inside.For a steady supply of beans, make successive plantings until mid- to late July.Relay-crop beans following harvest of cool-season crops, such as lettuce, spinach and peas.Beansrequire even moisture - about 1 inch per week - especially whenflowering and developing pods. If you water, avoid wetting foliage,which encourages disease. Water early in the day so foliage driesquickly. Mulch after second set of true leaves develops to help retainmoisture.Do not use nitrogen fertilizers. Inoculating seed withrhizobium bacteria may increase yields, especially in soils where beanshave not been grown before.Pod set is often poor when temperatures exceed 90 F. Deformed pods may be the result of lack of moisture, poor soil fertility or insect damage during blooming.A three-year rotation helps reduce some diseases.","Mexican bean beetles - Handpick and destroy beetles and eggs in smallplantings. Plant early to avoid this pest. Turn under any infestedplants after harvest.Aphids- A hard stream of water can be used to remove aphids from plants. Washoff with water occasionally as needed early in the day. Check forevidence of natural enemies such as gray-brown or bloated parasitizedaphids and the presence of alligator-like larvae of lady beetles andlacewings.Leafhoppers - Small, light green to gray wedge-shapedinsects that suck plant juices, causing stunting, and carrying virusdiseases. No cultural control available.Seedcorn maggot - Avoidheavy manure or organic matter in garden which attract maggot flies andencourages egg laying. Purchase insecticide-treated seed. Use gloves toplant.Spider mites (two-spotted) - Wash off with wateroccasionally as needed early in the day. A hard stream of water can beused to remove many mites from plants."
4,https://drive.google.com/file/d/1I9DUenRgxOCEc2BoELzivIPYxZkxfRoL/view?usp=sharing,Beans - Pole,scene8f63.html,http://www.gardening.cornell.edu/homegardening/scene8f63.html,Vegetable (Warm Season) - Other,Phaseolus vulgaris (Pole beans),Fabaceae,"Note: There are other species of beans with climbing growth habit, such as  Phaseolus lunatus (butterbean) Phaseolus coccineus (scarlet runner bean), Psophocrapus tetragonolobus (winged bean), Vigna unguiculata (yard-long bean), etc.",full sun,requires well-drained soil,,annual,easy,medium green,medium,,"native to North America - Species has been under cultivation worldwide for more than 7,000 years.bears ornamental fruit - Some varieties have purple or yellow pods.",Propagate by seed- Do not start seeds inside.Beans do not like to be transplanted. , 70 F to 80 F  - Germination is slow and poor when soil temperatures are below 60 F. , 8 to 10  - Germination may take two weeks or more if soil temperatures are below 60 F. ,Seed can be saved 5 years.,"Do not plant until danger of frost has passed and soil has warmed.Germination is poor when soil temperature is below 60 F. Cold airtemperatures (even above freezing) can injure plants and reduce yields.Constructtrellis, teepee, or single-pole support before seeding to avoidinjurying plant roots later. Bamboo poles or saplings lashed togethermake easy, inexpensive supports. Do not locate trellis where it willshade other plants that need full sun. Plant seed 1 inch deep(deeper if soil is dry), in hills of four to six seeds at the base ofeach pole. Plant 3 inches apart in rows along the base of lineartrellises.Soaking beans to hasten germination may damage seeds.  Do not start seed inside.  Beansrequire even moisture - about 1 inch per week - especially whenflowering and developing pods. If you water, avoid wetting foliage,which encourages disease. Water early in the day so foliage driesquickly. Mulch after second set of true leaves develops to help retainmoisture.Do not use nitrogen fertilizers. Inoculating seed withrhizobium bacteria may increase yields, especially in soils where beanshave not been grown before.Pod set is often poor when temperatures exceed 90 F.Deformed pods may be the result of lack of moisture, poor soil fertility or insect damage during blooming.A three-year rotation helps reduce some diseases.","Mexican bean beetles - Handpick and destroy beetles and eggs in smallplantings. Plant early to avoid this pest. Turn under any infestedplants after harvest.Aphids- A hard stream of water can be used to remove aphids from plants. Washoff with water occasionally as needed early in the day. Check forevidence of natural enemies such as gray-brown or bloated parasitizedaphids and the presence of alligator-like larvae of lady beetles andlacewings.Leafhoppers - Small, light green to gray wedge-shapedinsects that suck plant juices, causing stunting, and carrying virusdiseases. No cultural control available.Seedcorn maggot - Avoidheavy manure or organic matter in garden which attract maggot flies andencourages egg laying. Purchase insecticide-treated seed. Use gloves toplant.Spider mites (two-spotted) - Wash off with wateroccasionally as needed early in the day. A hard stream of water can beused to remove many mites from plants."
5,https://drive.google.com/file/d/1rM0rsybpxh2GaCbxxQNkNOKX3QcLM0U_/view?usp=sharing,Beets,scene18f3.html,http://www.gardening.cornell.edu/homegardening/scene18f3.html,"Vegetable (Cool Season) - Spinach, Beets, Chard, 



	







Vegetable (Warm Season) - Salad Greens",Beta vulgaris subsp. vulgaris,Chenopodiaceae,"Easy-to-grow beets do double-duty in the kitchen, producing tasty roots
for baking, boiling or sautéing and fresh greens to boil or steam.
Plant them early for top quality and best flavor. (Fluctuating weather
can reduce quality and create white zone rings in the roots.) Some
varieties have red stems and venation in the leaves, making them a
natural for edible landscaping.","full sun
part shade",tolerates low fertility,,annual,easy,,medium,frost,not native to North America - Native to Europe and Asia,Propagate by seed , 50 F to 85 F  - Will still germinate at temperatures as low as 40 F and as high as 90 F. , 5 to 8  - May take two to three weeks in colder soils. ,Seed can be saved 4 years.,"Plant in early spring, as soon as you can work the soil, ¾ inch deepand 1 inch apart in rows 12 to 18 inches apart.   Forcontinuous harvest, make successive plantings every three weeks untilmidsummer. For winter storage, sow crop about 10 weeks before heavyfreeze.Thewrinkled “seedball” usually contains two to four viable seeds, makingit necessary to thin to 3- to 4-inch spacings if you plan to harvestyoung, small or cylindrical-shaped roots, or 6-inch spacings for largerroots for winter storage. Begin thinning when seedlings areabout 4 to 5 inches tall, and eat the thinnings. Cut rather than pullplants when thinning to avoid disturbing roots of other plants.Some “monogerm” varieties have only one seed per fruit.  Some seed companies remove seeds from the seedball.Unlike most root crops, beets can be started inside or in cold frames and transplanted into the garden.Use floating row covers to discourage insects early in the season.Keep well-weeded.  Competition and uneven watering can make beets stringy and tough.Beets are closely related to Swiss chard and spinach.  Avoid following these crops in rotation.Beets tolerate average to low fertility.  Too much nitrogen will encourage top growth at the expense of root development.Bestcolor and flavor develop under cool conditions and bright sun. Whenbeets mature in warm weather, they are lighter colored, have less sugarand have more pronounced color zoning in the roots. Fluctuating weatherconditions produce white zone rings in roots.Beets arebiennials. Normally, they produce an enlarged root during their firstseason. Then after overwintering they produce a flower stalk. If theyexperience two to three weeks of temperatures below 45 F after theyhave formed several true leaves during their first season, a flowerstalk may grow prematurely. Many newer varieties are less sensitive tothis problem.",Leafminer - Cover plants with fine netting or cheesecloth or floatingrow cover to protect them from adult flies. Handpick and destroyinfested (mined) leaves. Control weeds.
6,https://drive.google.com/file/d/1PH1KJEVIqoIe9ndPvCSfNgnf5y3N9bk8/view?usp=sharing,Bok Choy,scene0bdf.html,http://www.gardening.cornell.edu/homegardening/scene0bdf.html,Vegetable (Cool Season) - Cabbage Family,Brassica rapa var. chinensis,Vegetable (Cool Season) - Cabbage,"No matter how you spell it, pak choy’s mild flavor is a must for stir
fries. It’s not as finicky about heat and cold as Chinese cabbage, and
the striking white petioles and green leaves make it a must for edible
landscaping.","full sun
part shade",requires well-drained soil,,annual,moderately difficult,,medium,"frost - Spring crops may bolt prematurely if young plants are exposed
to frost or a week of nighttime temperatures below 50 F. Wait until
after last frost date to direct seed or transplant out.","not native to North America - Not known in the wild.  Probably developed from selections of oil seed varieties in China about 2,000 years ago.",Propagate by seed , 50 F to 80 F , 4 to 7 ,Seed can be saved 4 years.,"While not as sensitive to heat and cold as Chinese cabbage, springcrops may bolt prematurely if young plants are exposed to frost or aweek of nighttime temperatures below 50 F. Wait until after last frostdate to direct seed or transplant out.Starttransplants inside 4 to 6 weeks before last frost date. Transplant 6 to12 inches apart in rows 18 to 30 inches apart. Use the closer spacingsfor smaller varieties.Plant direct-seeded spring crops ¼ to ½inch deep and about 1 inch apart in rows 18 to 30 inches apart. Thin to6- to 12-inch spacings. Use thinnings in salads.For fall crops,direct seed ¼ to ½ inch deep in rows 18 to 30 inches apart in summer.Thin to 6- to 12- inch spacings. Or set transplants out at 6- to12-inch spacings 4 to 6 weeks before first frost.Mulch fall crops heavily and provide adequate moisture to avoid premature bolting.",
7,https://drive.google.com/file/d/16yv6zz2owtU-G39V1YylB7EWvodaA3ty/view?usp=sharing,Broccoli,scene91d8.html,http://www.gardening.cornell.edu/homegardening/scene91d8.html,Vegetable (Cool Season) - Cabbage Family,Brassica oleracea var. botrytis (Broccoli),Vegetable (Cool Season) - Cabbage,"This cool-season crop grows best when daytime temperatures are in the
60s F. Grow in both spring and fall, but avoid mid-summer crops as hot
weather can cause premature bolting. Romanesco types are especially
handsome choices for edible landscaping.",full sun,requires well-drained soil,,annual,moderately difficult,medium green,medium,frost,not native to North America - Not known in the wild.  Descended from wild Mediterranean kale.,Propagate by seed , 45 F to 85 F  - Will germinate at soil temperatures as low as 40 F. , 4 to 7 ,Seed can be saved 3 years.,"Sow seeds indoors 6 to 8 weeks before average last spring frost. Keepsoil warm (about 75 F), until germination. Then keep plants around 60F. Provide direct sun so plants don’t get leggy. When plants are 4 to 6weeks old, transplant into garden 12 to 20 inches apart.Usewide spacings if you want to harvest large central heads. Closerspacings will produce smaller central heads. But if you harvestsecondary heads you will get a greater total yield from the closerspacings.Larger, older transplants are more likely to bolt whenexposed to cool temperatures in the garden. Transplant when plants havefour or five true leaves.Some cultivars will form small “button”heads when the weather turns warm following a 10-day stretch when hightemperatures only reach the 40s F.Can be direct-seeded as soonas you can work the soil. Will germinate at soil temps as low as 40 F.Plant ½ to ¾ inch deep, about 3 inches apart. Thin to final spacings.Direct seed in midsummer for fall crop, or start transplants in late May and transplant in late June or early July.In Zone 7 and warmer, fall broccoli crops will often overwinter.Use low nitrogen fertilizer at planting. Too much nitrogen fertilizer may cause hollow stems.Plantshave shallow root systems. Avoid even shallow cultivation. Mulch toprotect roots, reduce weed competition and conserve moisture.Use floating row covers to help protect from early insect infestations.To help reduce disease, do not plant broccoli or other cole crops in the same location more than once every three or four years.","Cabbageworms - Handpick and destroy. Row covers may be useful on smallplantings to help protect plants from early damage. Put in place atplanting and remove before temperatures get too hot in midsummer.Fleabeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot inmidsummer. Control weeds.Cabbage root maggot - White maggots(larvae) attack all plants of the cabbage family. Larvae tunnel in andfeed on roots of plants. Damage causes wilting early on, death ofplants a little later on.Cabbage aphids - A hard stream of watercan be used to remove aphids from plants. Wash off with wateroccasionally as needed early in the day. Check for evidence of naturalenemies such as gray-brown or bloated parasitized aphids and thepresence of alligator-like larvae of lady beetles and lacewings.Other pests:  Slugs and snailsCutworms"
8,https://drive.google.com/file/d/1N56t5uVUrNy5PNrwVc3eGxdPGgbdkskN/view?usp=sharing,Broccoli Raab,scenec40b.html,http://www.gardening.cornell.edu/homegardening/scenec40b.html,Vegetable (Cool Season) - Cabbage Family,Brassica ruvo,Vegetable (Cool Season) - Cabbage,"An Italian favorite with a somewhat bitter taste, this fast-growing,
cool-season annual forms loose flower heads similar to broccoli in the
axils of lower leaves.",full sun,requires well-drained soil,,annual,moderately difficult,medium green,medium,frost,not native to North America,Propagate by seed , 45 F to 85 F , 4 to 7,,"Grow similar to broccoli. Direct seed from early spring to late summer,about 1 inch apart and ¼ to ½ inch deep in rows 18 to 24 inches apart.Thin to 4 to 6 inches apart.Use floating row cover to protect from insects.","Cabbageworms - Handpick and destroy. Row covers may be useful on smallplantings to help protect plants from early damage. Put in place atplanting and remove before temperatures get too hot in midsummer.Fleabeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot inmidsummer. Control weeds.Cabbage root maggot - White maggots(larvae) attack all plants of the cabbage family. Larvae tunnel in andfeed on roots of plants. Damage causes wilting early on, death ofplants a little later on.Cabbage aphids - A hard stream of watercan be used to remove aphids from plants. Wash off with wateroccasionally as needed early in the day. Check for evidence of naturalenemies such as gray-brown or bloated parasitized aphids and thepresence of alligator-like larvae of lady beetles and lacewings.Other pests:  Slugs and snailsCutworms"
9,https://drive.google.com/file/d/1pGdNTtMuEHj4JKSFquBHZ0A7ZqRd2oDX/view?usp=sharing,Brussels Sprouts,scene2520.html,http://www.gardening.cornell.edu/homegardening/scene2520.html,Vegetable (Cool Season) - Cabbage Family,Brassica oleracea var. gemmifera,Vegetable (Cool Season) - Cabbage,"This cool-season crop is most flavorful after it is “kissed” by frost.
Keep plantings moist and well-mulched during the heat of summer, and
you will be rewarded with sprouts until Christmas or beyond.",full sun,requires well-drained soil,,annual,moderately difficult,medium green,medium,frost - Frost improves flavor.  Harvest continues until Christmas or even later in some warmer areas.,not native to North America - Not known in the wild.  Descended from wild Mediterranean kale.,Propagate by seed , 45 F to 85 F  - Will germinate at soil temperatures as low as 40 F. , 5 to 8,,"Grow in summer for fall harvest, similar to a fall cabbage or broccoli crop.Directseed about 4 months before expected fall frost. Plant seed 3 to 4inches apart, ¼ to ½ inch deep in rows about 30 inches apart. Thinplants to about 18 inches apart.Start transplants in late May and transplant in late June or early July.  Space plants 18 to 24 inches apart.Plantshave shallow root systems. Avoid even shallow cultivation. Mulch toprotect roots, reduce weed competition and conserve moisture.Use floating row covers to help protect from early insect infestations.Tohelp reduce disease, do not plant Brussels sprouts or other cole cropsin the same location more than once every three or four years.","Cabbage aphids - A hard stream of water can be used to remove aphidsfrom plants. Wash off with water occasionally as needed early in theday. Check for evidence of natural enemies such as gray-brown orbloated parasitized aphids and the presence of alligator-like larvae oflady beetles and lacewings.Cabbageroot maggot - White maggot larvae tunnel in and feed on roots ofplants. Damage causes wilting early on, death of plants later on.Cabbageworms- Handpick and destroy. Row covers may be useful on small plantings tohelp protect plants from early damage. Put in place at planting andremove before temperatures get too hot in midsummer. FleaBeetles - Use row covers to help protect plants from early damage. Putin place at planting and remove before temperatures get too hot inmidsummer. Control weeds.Cutworms - Control weeds. Cardboard collars around each plant give good protection.Other pests:Cabbage loopersSlugsNematodes"
